cell_type,sides
CB0224,L|R
CB0227,L|R
CB0228,L|R
CB0244,L|R
CB0259,L|R
CB0266,L|R
CB0270,CB0351,L|R
CB0279,CB1725,L|R
CB0280,L|R
CB0282,L|R
CB0285,L|R
CB0297,L|R
CB0299,CB2670,L|R
CB0307,L|R
CB0312,L|R
CB0314,CB1250,L|R
CB0316,L|R
CB0320,L|R
CB0324,L|R
CB0325,L|R
CB0336,CB0796,L|R
CB0346,L|R
CB0356,L|R
CB0361,L|R
CB0367,L|R
CB0373,L|R
CB0374,L|R
CB0380,L|R
CB0381,L|R
CB0382,L|R
CB0386,L|R
